ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.0,2.33,2.33,0,strict
600123.SH,兰花科创,兰花,False,0.2,0.009244992295839749,6.55,6.49,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.004807692307692291,6.27,6.24,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,-0.001941747572815733,5.14,5.15,0,strict
600873.SH,梅花生物,梅花,False,0.2,-0.0009250693802035359,10.8,10.81,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,0.0,2.33,2.33,0,extended
600123.SH,兰花科创,兰花,False,0.2,0.009244992295839749,6.55,6.49,0,extended
600186.SH,莲花控股,莲花,False,0.2,0.004807692307692291,6.27,6.24,0,extended
600510.SH,黑牡丹,牡丹,False,0.2,-0.001941747572815733,5.14,5.15,0,extended
600873.SH,梅花生物,梅花,False,0.2,-0.0009250693802035359,10.8,10.81,0,extended
