ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.0030674846625766694,3.27,3.26,0,strict
600123.SH,兰花科创,兰花,False,0.2,0.017014694508894035,13.15,12.93,0,strict
600186.SH,莲花健康,莲花,False,0.2,-0.007518796992481147,2.64,2.66,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.10016155088852963,13.62,12.38,0,strict
600873.SH,梅花生物,梅花,False,0.2,-0.026378896882494063,8.12,8.34,0,strict
000812.SZ,陕西金叶,金叶,False,0.07142857142857142,0.0,6.54,6.54,0,extended
002431.SZ,棕榈股份,棕榈,False,0.07142857142857142,0.0030674846625766694,3.27,3.26,0,extended
300132.SZ,青松股份,青松,False,0.07142857142857142,-0.018750000000000044,7.85,8.0,0,extended
600123.SH,兰花科创,兰花,False,0.07142857142857142,0.017014694508894035,13.15,12.93,0,extended
600186.SH,莲花健康,莲花,False,0.07142857142857142,-0.007518796992481147,2.64,2.66,0,extended
600425.SH,青松建化,青松,False,0.07142857142857142,-0.0024875621890546595,4.01,4.02,0,extended
600493.SH,凤竹纺织,凤竹,False,0.07142857142857142,-0.004918032786885074,6.07,6.1,0,extended
600510.SH,黑牡丹,牡丹,False,0.07142857142857142,0.10016155088852963,13.62,12.38,0,extended
600873.SH,梅花生物,梅花,False,0.07142857142857142,-0.026378896882494063,8.12,8.34,0,extended
603102.SH,百合股份,百合,False,0.07142857142857142,0.009293002915451876,55.39,54.88,0,extended
603313.SH,梦百合,百合,False,0.07142857142857142,-0.012121212121212088,13.04,13.2,0,extended
603615.SH,茶花股份,茶花,False,0.07142857142857142,0.026255707762557146,8.99,8.76,0,extended
603823.SH,百合花,百合,False,0.07142857142857142,-0.016315431679129855,14.47,14.71,0,extended
603866.SH,桃李面包,桃李,False,0.07142857142857142,-0.05661124307205079,23.83,25.26,0,extended
