ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.021739130434782705,2.82,2.76,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.007299270072992581,6.8,6.85,0,strict
600186.SH,莲花控股,莲花,False,0.2,-0.01025641025641022,5.79,5.85,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.0035460992907800915,8.49,8.46,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.006156552330694787,11.44,11.37,0,strict
000812.SZ,陕西金叶,金叶,False,0.07142857142857142,0.01716738197424883,4.74,4.66,0,extended
002431.SZ,棕榈股份,棕榈,False,0.07142857142857142,0.021739130434782705,2.82,2.76,0,extended
300132.SZ,青松股份,青松,False,0.07142857142857142,0.0027932960893854997,7.18,7.16,0,extended
600123.SH,兰花科创,兰花,False,0.07142857142857142,-0.007299270072992581,6.8,6.85,0,extended
600186.SH,莲花控股,莲花,False,0.07142857142857142,-0.01025641025641022,5.79,5.85,0,extended
600425.SH,青松建化,青松,False,0.07142857142857142,-0.014893617021276673,4.63,4.7,0,extended
600493.SH,凤竹纺织,凤竹,False,0.07142857142857142,0.0013605442176871652,7.36,7.35,0,extended
600510.SH,黑牡丹,牡丹,False,0.07142857142857142,0.0035460992907800915,8.49,8.46,0,extended
600873.SH,梅花生物,梅花,False,0.07142857142857142,0.006156552330694787,11.44,11.37,0,extended
603102.SH,百合股份,百合,False,0.07142857142857142,-0.007134637514384479,43.14,43.45,0,extended
603313.SH,梦百合,百合,False,0.07142857142857142,-0.008350730688935326,9.5,9.58,0,extended
603615.SH,茶花股份,茶花,False,0.07142857142857142,-0.016228748068006116,25.46,25.88,0,extended
603823.SH,百合花,百合,False,0.07142857142857142,0.09982983550765745,19.39,17.63,0,extended
603866.SH,桃李面包,桃李,False,0.07142857142857142,-0.005434782608695565,5.49,5.52,0,extended
