ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,-0.033457249070631856,2.6,2.69,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.004573170731707266,6.53,6.56,0,strict
600186.SH,莲花控股,莲花,False,0.2,-0.0032414910858994395,6.15,6.17,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,-0.013157894736842257,5.25,5.32,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.00374181478016844,10.73,10.69,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,-0.033457249070631856,2.6,2.69,0,extended
600123.SH,兰花科创,兰花,False,0.2,-0.004573170731707266,6.53,6.56,0,extended
600186.SH,莲花控股,莲花,False,0.2,-0.0032414910858994395,6.15,6.17,0,extended
600510.SH,黑牡丹,牡丹,False,0.2,-0.013157894736842257,5.25,5.32,0,extended
600873.SH,梅花生物,梅花,False,0.2,0.00374181478016844,10.73,10.69,0,extended
