ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,-0.02450980392156865,1.99,2.04,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.0066006600660065695,9.03,9.09,0,strict
600186.SH,莲花股份,莲花,False,0.2,-0.0022675736961450532,4.4,4.41,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,-0.01684210526315788,4.67,4.75,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.022058823529411686,11.12,10.88,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,-0.02450980392156865,1.99,2.04,0,extended
600123.SH,兰花科创,兰花,False,0.2,-0.0066006600660065695,9.03,9.09,0,extended
600186.SH,莲花股份,莲花,False,0.2,-0.0022675736961450532,4.4,4.41,0,extended
600510.SH,黑牡丹,牡丹,False,0.2,-0.01684210526315788,4.67,4.75,0,extended
600873.SH,梅花生物,梅花,False,0.2,0.022058823529411686,11.12,10.88,0,extended
