ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.004115226337448652,2.44,2.43,0,strict
600123.SH,兰花科创,兰花,False,0.2,0.0033783783783785104,5.94,5.92,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.010221465076660774,5.93,5.87,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.044083526682134666,9.0,8.62,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.0009784735812132794,10.23,10.22,0,strict
000812.SZ,陕西金叶,金叶,False,0.07142857142857142,0.028056112224448926,5.13,4.99,0,extended
002431.SZ,棕榈股份,棕榈,False,0.07142857142857142,0.004115226337448652,2.44,2.43,0,extended
300132.SZ,青松股份,青松,False,0.07142857142857142,0.001210653753026536,8.27,8.26,0,extended
600123.SH,兰花科创,兰花,False,0.07142857142857142,0.0033783783783785104,5.94,5.92,0,extended
600186.SH,莲花控股,莲花,False,0.07142857142857142,0.010221465076660774,5.93,5.87,0,extended
600425.SH,青松建化,青松,False,0.07142857142857142,0.0,4.28,4.28,0,extended
600493.SH,凤竹纺织,凤竹,False,0.07142857142857142,0.021739130434782705,7.99,7.82,0,extended
600510.SH,黑牡丹,牡丹,False,0.07142857142857142,0.044083526682134666,9.0,8.62,0,extended
600873.SH,梅花生物,梅花,False,0.07142857142857142,0.0009784735812132794,10.23,10.22,0,extended
603102.SH,百合股份,百合,False,0.07142857142857142,0.007494145199063107,43.02,42.7,0,extended
603313.SH,梦百合,百合,False,0.07142857142857142,-0.011506276150627937,9.45,9.56,0,extended
603615.SH,茶花股份,茶花,False,0.07142857142857142,0.02659110723626834,23.55,22.94,0,extended
603823.SH,百合花,百合,False,0.07142857142857142,0.03765156349712817,16.26,15.67,0,extended
603866.SH,桃李面包,桃李,False,0.07142857142857142,0.0,5.34,5.34,0,extended
