ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.01773049645390068,2.77,2.82,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.03511338697878574,13.19,13.67,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.010869565217391353,2.73,2.76,0,strict
600506.SH,香梨股份,香梨,False,0.16666666666666666,-0.0009250693802035359,10.8,10.81,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.02449567723342949,6.77,6.94,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.023126734505087954,10.56,10.81,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.01773049645390068,2.77,2.82,0,extended
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.03511338697878574,13.19,13.67,0,extended
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.010869565217391353,2.73,2.76,0,extended
600506.SH,香梨股份,香梨,False,0.16666666666666666,-0.0009250693802035359,10.8,10.81,0,extended
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.02449567723342949,6.77,6.94,0,extended
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.023126734505087954,10.56,10.81,0,extended
