ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.020937536316838257,1.46,1.43,0,strict
600123.SH,兰花科创,兰花,False,0.2,0.010088620687561,8.99,8.9,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.04151574042733275,3.52,3.38,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.00787313961587821,3.81,3.78,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.0010155522885961776,10.22,10.21,0,strict
000812.SZ,陕西金叶,金叶,False,0.07142857142857142,0.02834253475930537,3.63,3.53,0,extended
002431.SZ,棕榈股份,棕榈,False,0.07142857142857142,0.020937536316838257,1.46,1.43,0,extended
300132.SZ,青松股份,青松,False,0.07142857142857142,0.02922176637065088,3.53,3.43,0,extended
600123.SH,兰花科创,兰花,False,0.07142857142857142,0.010088620687561,8.99,8.9,0,extended
600186.SH,莲花控股,莲花,False,0.07142857142857142,0.04151574042733275,3.52,3.38,0,extended
600425.SH,青松建化,青松,False,0.07142857142857142,0.015274274547556255,3.31,3.26,0,extended
600493.SH,凤竹纺织,凤竹,False,0.07142857142857142,0.03540567347748458,4.41,4.26,0,extended
600510.SH,黑牡丹,牡丹,False,0.07142857142857142,0.00787313961587821,3.81,3.78,0,extended
600873.SH,梅花生物,梅花,False,0.07142857142857142,0.0010155522885961776,10.22,10.21,0,extended
603102.SH,百合股份,百合,False,0.07142857142857142,0.037222136972893116,30.81,29.71,0,extended
603313.SH,梦百合,百合,False,0.07142857142857142,0.009631796762660683,7.38,7.31,0,extended
603615.SH,茶花股份,茶花,False,0.07142857142857142,0.0441258254486796,10.8,10.34,0,extended
603823.SH,百合花,百合,False,0.07142857142857142,0.010654757006372417,9.71,9.61,0,extended
603866.SH,桃李面包,桃李,False,0.07142857142857142,0.02928690028701153,5.29,5.14,0,extended
