ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.013157894736842146,3.0,3.04,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.005050505050504972,13.93,13.86,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.025270758122743597,2.7,2.77,0,strict
600506.SH,香梨股份,香梨,False,0.16666666666666666,0.004095004095003851,12.26,12.21,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.022471910112359494,6.96,7.12,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.04446546830652798,10.1,10.57,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.013157894736842146,3.0,3.04,0,extended
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.005050505050504972,13.93,13.86,0,extended
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.025270758122743597,2.7,2.77,0,extended
600506.SH,香梨股份,香梨,False,0.16666666666666666,0.004095004095003851,12.26,12.21,0,extended
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.022471910112359494,6.96,7.12,0,extended
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.04446546830652798,10.1,10.57,0,extended
