ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,0.05907172995780585,2.51,2.37,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.010294117647058787,6.73,6.8,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.015929203539823078,5.74,5.65,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,-0.0034965034965034336,8.55,8.58,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.008122743682310585,11.17,11.08,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,0.05907172995780585,2.51,2.37,0,extended
600123.SH,兰花科创,兰花,False,0.2,-0.010294117647058787,6.73,6.8,0,extended
600186.SH,莲花控股,莲花,False,0.2,0.015929203539823078,5.74,5.65,0,extended
600510.SH,黑牡丹,牡丹,False,0.2,-0.0034965034965034336,8.55,8.58,0,extended
600873.SH,梅花生物,梅花,False,0.2,0.008122743682310585,11.17,11.08,0,extended
