ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.2,-0.0142180094786728,2.08,2.11,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.0050890585241729624,7.82,7.86,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.10029498525073755,7.46,6.78,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,-0.01041666666666663,4.75,4.8,0,strict
600873.SH,梅花生物,梅花,False,0.2,0.019211324570272748,10.08,9.89,0,strict
000812.SZ,陕西金叶,金叶,False,0.07142857142857142,0.006185567010309256,4.88,4.85,0,extended
002431.SZ,棕榈股份,棕榈,False,0.07142857142857142,-0.0142180094786728,2.08,2.11,0,extended
300132.SZ,青松股份,青松,False,0.07142857142857142,-0.01115241635687736,5.32,5.38,0,extended
600123.SH,兰花科创,兰花,False,0.07142857142857142,-0.0050890585241729624,7.82,7.86,0,extended
600186.SH,莲花控股,莲花,False,0.07142857142857142,0.10029498525073755,7.46,6.78,0,extended
600425.SH,青松建化,青松,False,0.07142857142857142,-0.0051948051948053076,3.83,3.85,0,extended
600493.SH,凤竹纺织,凤竹,False,0.07142857142857142,0.0018348623853212676,5.46,5.45,0,extended
600510.SH,黑牡丹,牡丹,False,0.07142857142857142,-0.01041666666666663,4.75,4.8,0,extended
600873.SH,梅花生物,梅花,False,0.07142857142857142,0.019211324570272748,10.08,9.89,0,extended
603102.SH,百合股份,百合,False,0.07142857142857142,0.022071307300509213,36.12,35.34,0,extended
603313.SH,梦百合,百合,False,0.07142857142857142,-0.011922503725782518,6.63,6.71,0,extended
603615.SH,茶花股份,茶花,False,0.07142857142857142,0.013507429085997336,22.51,22.21,0,extended
603823.SH,百合花,百合,False,0.07142857142857142,0.0021074815595363283,9.51,9.49,0,extended
603866.SH,桃李面包,桃李,False,0.07142857142857142,-0.0033783783783783994,5.9,5.92,0,extended
