ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.006578947368421018,3.02,3.04,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.004389173372348232,13.73,13.67,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.017605633802816878,2.79,2.84,0,strict
600506.SH,香梨股份,香梨,False,0.16666666666666666,0.019516728624535462,10.97,10.76,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.05834464043419263,6.94,7.37,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.00425079702444231,9.37,9.41,0,strict
000812.SZ,陕西金叶,金叶,False,0.06666666666666667,-0.02000000000000013,5.88,6.0,0,extended
002431.SZ,棕榈股份,棕榈,False,0.06666666666666667,-0.006578947368421018,3.02,3.04,0,extended
300132.SZ,青松股份,青松,False,0.06666666666666667,0.04959785522788218,7.83,7.46,0,extended
600123.SH,兰花科创,兰花,False,0.06666666666666667,0.004389173372348232,13.73,13.67,0,extended
600186.SH,莲花健康,莲花,False,0.06666666666666667,-0.017605633802816878,2.79,2.84,0,extended
600425.SH,青松建化,青松,False,0.06666666666666667,0.005277044854881119,3.81,3.79,0,extended
600493.SH,凤竹纺织,凤竹,False,0.06666666666666667,-0.018835616438356073,5.73,5.84,0,extended
600506.SH,香梨股份,香梨,False,0.06666666666666667,0.019516728624535462,10.97,10.76,0,extended
600510.SH,黑牡丹,牡丹,False,0.06666666666666667,-0.05834464043419263,6.94,7.37,0,extended
600873.SH,梅花生物,梅花,False,0.06666666666666667,-0.00425079702444231,9.37,9.41,0,extended
603102.SH,百合股份,百合,False,0.06666666666666667,-0.028883495145631155,40.01,41.2,0,extended
603313.SH,梦百合,百合,False,0.06666666666666667,-0.010710808179162368,10.16,10.27,0,extended
603615.SH,茶花股份,茶花,False,0.06666666666666667,-0.008816120906801173,7.87,7.94,0,extended
603823.SH,百合花,百合,False,0.06666666666666667,-0.015559545182525447,16.45,16.71,0,extended
603866.SH,桃李面包,桃李,False,0.06666666666666667,-0.026909090909090883,13.38,13.75,0,extended
