ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
000572.SZ,海马汽车,海马,False,0.09090909090909091,0.00995024875621886,4.06,4.02,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,-0.007672634271099765,3.88,3.91,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,0.0,30.37,30.37,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,0.02966507177033506,21.52,20.9,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,0.002320185614849146,21.6,21.55,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,-0.004920049200492049,40.45,40.65,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,0.005870841487279677,10.28,10.22,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,-0.058738986622954514,21.39,22.72,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,0.00995024875621886,6.09,6.03,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,-0.02027649769585227,10.63,10.85,0,strict
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,-0.008219178082191858,21.72,21.9,0,strict
000050.SZ,深天马A,马,False,0.006329113924050633,-0.0010683760683759536,9.35,9.36,0,extended
000572.SZ,海马汽车,海马,False,0.006329113924050633,0.00995024875621886,4.06,4.02,0,extended
000593.SZ,德龙汇能,龙,False,0.006329113924050633,0.01086956521739113,6.51,6.44,0,extended
000677.SZ,恒天海龙,龙,False,0.006329113924050633,-0.0036900369003689537,2.7,2.71,0,extended
000712.SZ,锦龙股份,龙,False,0.006329113924050633,-0.002382843526608447,12.56,12.59,0,extended
000735.SZ,罗牛山,牛,False,0.006329113924050633,-0.007225433526011682,6.87,6.92,0,extended
000766.SZ,通化金马,马,False,0.006329113924050633,-0.03689320388349526,4.96,5.15,0,extended
000863.SZ,三湘印象,象,False,0.006329113924050633,-0.025839793281653756,3.77,3.87,0,extended
000910.SZ,大亚圣象,象,False,0.006329113924050633,0.0,7.98,7.98,0,extended
000935.SZ,四川双马,马,False,0.006329113924050633,-0.03867069486404828,15.91,16.55,0,extended
000955.SZ,欣龙控股,龙,False,0.006329113924050633,-0.009456264775413725,4.19,4.23,0,extended
001283.SZ,豪鹏科技,鹏,False,0.006329113924050633,0.013681330246263945,48.16,47.51,0,extended
001289.SZ,龙源电力,龙,False,0.006329113924050633,0.035454103933948655,21.32,20.59,0,extended
001317.SZ,三羊马,马,False,0.006329113924050633,-0.016789087093389332,37.48,38.12,0,extended
001979.SZ,招商蛇口,蛇,False,0.006329113924050633,-0.013323464100666094,13.33,13.51,0,extended
002029.SZ,七匹狼,狼,False,0.006329113924050633,-0.0031746031746030523,6.28,6.3,0,extended
002043.SZ,兔宝宝,兔,False,0.006329113924050633,0.025547445255474477,11.24,10.96,0,extended
