ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
000572.SZ,海马汽车,海马,False,0.09090909090909091,0.0019267822736031004,5.2,5.19,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,-0.019417475728155442,5.05,5.15,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,-0.005847953216374324,32.3,32.49,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,0.005666567253205912,33.72,33.53,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,-0.003401360544217691,26.37,26.46,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,0.010394644115574225,57.35,56.76,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,0.0,10.39,10.39,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,0.10025062656641603,17.56,15.96,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,0.0017361111111111605,5.77,5.76,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,0.010156249999999867,12.93,12.8,0,strict
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,0.01986531986532003,30.29,29.7,0,strict
000050.SZ,深天马A,马,False,0.006896551724137931,0.003308519437551727,12.13,12.09,0,extended
000572.SZ,海马汽车,海马,False,0.006896551724137931,0.0019267822736031004,5.2,5.19,0,extended
000593.SZ,德龙汇能,龙,False,0.006896551724137931,-0.005102040816326481,5.85,5.88,0,extended
000677.SZ,恒天海龙,龙,False,0.006896551724137931,-0.012285012285012553,4.02,4.07,0,extended
000712.SZ,锦龙股份,龙,False,0.006896551724137931,0.043415340086830456,14.42,13.82,0,extended
000735.SZ,罗牛山,牛,False,0.006896551724137931,0.0,6.84,6.84,0,extended
000766.SZ,通化金马,马,False,0.006896551724137931,-0.013574660633484004,4.36,4.42,0,extended
000863.SZ,三湘印象,象,False,0.006896551724137931,-0.03217158176943713,3.61,3.73,0,extended
000910.SZ,大亚圣象,象,False,0.006896551724137931,-0.0031496062992125706,12.66,12.7,0,extended
