ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
000572.SZ,海马汽车,海马,False,0.09090909090909091,0.030501089324618924,4.73,4.59,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,0.01927710843373487,4.23,4.15,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,0.019070904645476894,20.84,20.45,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,0.0035629453681709222,16.9,16.84,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,0.035758323057953234,16.8,16.22,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,-0.04183366733466942,38.25,39.92,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,0.020618556701031077,9.9,9.7,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,0.09974204643164208,12.79,11.63,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,0.004132231404958775,4.86,4.84,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,0.013201320132013139,12.28,12.12,0,strict
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,0.042132416165090225,24.24,23.26,0,strict
000050.SZ,深天马A,马,False,0.006493506493506494,0.018433179723502224,8.84,8.68,0,extended
000572.SZ,海马汽车,海马,False,0.006493506493506494,0.030501089324618924,4.73,4.59,0,extended
000593.SZ,德龙汇能,龙,False,0.006493506493506494,-0.0013245033112582183,7.54,7.55,0,extended
000677.SZ,恒天海龙,龙,False,0.006493506493506494,0.017241379310344973,2.95,2.9,0,extended
000712.SZ,锦龙股份,龙,False,0.006493506493506494,-0.0007861635220125507,12.71,12.72,0,extended
000735.SZ,罗牛山,牛,False,0.006493506493506494,0.009615384615384581,6.3,6.24,0,extended
000766.SZ,通化金马,马,False,0.006493506493506494,0.011235955056179803,5.4,5.34,0,extended
000863.SZ,三湘印象,象,False,0.006493506493506494,0.019169329073482233,3.19,3.13,0,extended
000910.SZ,大亚圣象,象,False,0.006493506493506494,-0.012642225031605725,7.81,7.91,0,extended
000935.SZ,四川双马,马,False,0.006493506493506494,0.06896551724137923,20.15,18.85,0,extended
000955.SZ,欣龙控股,龙,False,0.006493506493506494,-0.02211302211302224,3.98,4.07,0,extended
001283.SZ,豪鹏科技,鹏,False,0.006493506493506494,0.03133514986376018,52.99,51.38,0,extended
001289.SZ,龙源电力,龙,False,0.006493506493506494,-0.012249443207127064,17.74,17.96,0,extended
001317.SZ,三羊马,马,False,0.006493506493506494,0.00029524653085344355,33.88,33.87,0,extended
001979.SZ,招商蛇口,蛇,False,0.006493506493506494,-0.06623931623931623,13.11,14.04,0,extended
002029.SZ,七匹狼,狼,False,0.006493506493506494,-0.00375939849624074,5.3,5.32,0,extended
002043.SZ,兔宝宝,兔,False,0.006493506493506494,-0.027667984189723382,7.38,7.59,0,extended
002047.SZ,宝鹰股份,鹰,False,0.006493506493506494,0.015695067264573925,4.53,4.46,0,extended
002068.SZ,黑猫股份,猫,False,0.006493506493506494,-0.027707808564231717,11.58,11.91,0,extended
002084.SZ,海鸥住工,海鸥,False,0.006493506493506494,0.01927710843373487,4.23,4.15,0,extended
002154.SZ,报喜鸟,鸟,False,0.006493506493506494,0.0,3.48,3.48,0,extended
002210.SZ,飞马国际,马,False,0.006493506493506494,0.004424778761062065,2.27,2.26,0,extended
002223.SZ,鱼跃医疗,鱼,False,0.006493506493506494,0.10003379520108147,32.55,29.59,0,extended
002276.SZ,万马股份,马,False,0.006493506493506494,-0.036286019210245546,9.03,9.37,0,extended
002312.SZ,川发龙蟒,龙,False,0.006493506493506494,0.004500450045004545,11.16,11.11,0,extended
