date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_nav,zoo_extended_nav,benchmark_nav
20210906,0.0050998438980231825,0.0050998438980231825,0.017080113867425695,1.0050998438980232,1.0050998438980232,1.0170801138674257
20210907,0.036828991896302336,0.036828991896302336,0.012594962015194167,1.0421166579039183,1.0421166579039183,1.0298901992679952
20210908,0.0271660118920412,0.0271660118920412,-0.004146100691016952,1.0704268114254303,1.0704268114254303,1.0256201708011385
20210909,0.016966291372919495,0.016966291372919495,-0.0003965107057889439,1.0885879846014594,1.0885879846014594,1.0252135014233428
20210910,-0.021127649332485055,-0.021127649332485055,0.00971836572788587,1.0655886793952432,1.0655886793952432,1.0351769011793412
20210913,0.013009228987507582,0.013009228987507582,-0.005303476723629963,1.0794511665319917,1.0794511665319917,1.0296868645790973
20210914,-0.016931022314537424,-0.016931022314537424,-0.013033175355450233,1.061174954743985,1.061174954743985,1.0162667751118342
20210915,0.004279194075817228,0.004279194075817228,-0.010604241696678618,1.0657159283237312,1.0657159283237312,1.0054900366002442
20210916,-0.014346716497711375,-0.014346716497711375,-0.011324570273003043,1.0504264040329754,1.0504264040329754,0.9941032940219603
20210917,-0.016220943570275037,-0.016220943570275037,0.007977091429740124,1.0333874966084295,1.0333874966084295,1.0020333468889793
20210922,0.03579936483253372,0.03579936483253372,-0.006696428571428714,1.0703821126128934,1.0703821126128934,0.9953233021553476
20210923,0.030567029748862717,0.030567029748862717,0.005924412665985868,1.1031005144917823,1.1031005144917823,1.0012200081333875
20210924,-0.0419586328100599,-0.0419586328100599,0.0014216084484159897,1.0568159250516334,1.0568159250516334,1.0026433509556731
20210927,-0.060983288146638545,-0.060983288146638545,0.00648955587102007,0.9923678149762533,0.9923678149762533,1.0091500610004067
20210928,0.029597263656867302,0.029597263656867302,-0.0018134193028411794,1.0217391868406946,1.0217391868406946,1.0073200488003253
20210929,-0.03796268292684581,-0.03796268292684581,-0.006661283811061569,0.9829512260567281,0.9829512260567281,1.0006100040666939
20210930,0.03518647651510554,0.03518647651510554,0.002844950213371167,1.0175378162878674,1.0175378162878674,1.0034566897112647
20211008,-0.009047844692279329,-0.009047844692279329,0.014387031408308104,1.0083312921575738,1.0083312921575738,1.0178934526230174
20211011,-0.0030728896571592616,-0.0030728896571592616,-0.00019976028765489318,1.0052328013589127,1.0052328013589127,1.0176901179341193
20211012,-0.030101832266599748,-0.030101832266599748,-0.010389610389610282,0.9749734521835225,0.9749734521835225,1.0071167141114272
20211013,-0.017269139249538525,-0.017269139249538525,0.01130627902281467,0.958136499873162,0.958136499873162,1.0185034566897113
20211014,0.004979676759068009,0.004979676759068009,-0.005390297464563765,0.9629077099335951,0.9629077099335951,1.0130134200894674
20211015,0.009879219621541258,0.009879219621541258,0.004817342432757776,0.9724204866753043,0.9724204866753043,1.0178934526230174
20211018,0.019199627196195324,0.019199627196195324,-0.011586096683979141,0.991090597497413,0.991090597497413,1.0061000406669378
20211019,0.020231508627984663,0.020231508627984663,0.00949878738884391,1.0111418554717964,1.0111418554717964,1.0156567710451403
20211020,-0.027029709032712648,-0.027029709032712648,-0.002802802802802873,0.9838109853275966,0.9838109853275966,1.0128100854005693
20211021,0.0029019158129839125,0.0029019158129839125,0.004416783778357747,0.986665921982906,0.986665921982906,1.0172834485563236
20211022,-0.013524844737553379,-0.013524844737553379,0.006596042374575228,0.9733214185802523,0.9733214185802523,1.023993493289955
20211025,0.012643106150097786,0.012643106150097786,0.003375694996028633,0.9856272245935263,0.9856272245935263,1.0274501830012197
20211026,-0.019383236810375504,-0.019383236810375504,-0.00336433801701963,0.9665225786924768,0.9665225786924768,1.023993493289955
20211027,-0.012231529735563119,-0.012231529735563119,-0.013105639396346236,0.9547005290311067,0.9547005290311067,1.010573403822692
20211028,-0.04205683371852746,-0.04205683371852746,-0.004225352112676051,0.9145488476306552,0.9145488476306552,1.0063033753558355
20211029,0.001342074115790947,0.001342074115790947,0.00646595271772088,0.9157762399666869,0.9157762399666869,1.0128100854005693
20211101,0.022768250931969637,0.022768250931969637,-0.003212206384260341,0.9366268631957839,0.9366268631957839,1.0095567303782023
20211102,-0.016312531764975494,-0.016312531764975494,-0.010473313192346345,0.9213481077379734,0.9213481077379734,0.9989833265555101
20211103,0.014689379628740775,0.014689379628740775,-0.004070832485243203,0.9348821398627585,0.9348821398627585,0.9949166327775516
20211104,0.004944596269011357,0.004944596269011357,0.009605558961782279,0.9395047546034893,0.9395047546034893,1.0044733631557543
20211105,-0.018977186880271012,-0.018977186880271012,-0.00344129554655892,0.9216755973004757,0.9216755973004757,1.0010166734444894
20211108,-0.0031958261883458855,-0.0031958261883458855,-0.0008125126955108586,0.9187300822894634,0.9187300822894634,1.0002033346888977
20211109,-0.0008146793373916108,-0.0008146793373916108,-0.0004065867046146865,0.917981611874782,0.917981611874782,0.9997966653111019
20211110,0.004709241665335106,0.004709241665335106,-0.0050844010575553655,0.9223046091294342,0.9223046091294342,0.9947132980886538
20211111,0.0013042385488004626,0.0013042385488004626,0.01635322976287812,0.9235075143543972,0.9235075143543972,1.0109800732004879
20211112,0.00950569375168382,0.00950569375168382,-0.0004022526146421068,0.9322860939632287,0.9322860939632287,1.010573403822692
20211115,0.024148730627347417,0.024148730627347417,-0.0012072434607645066,0.9547996197139685,0.9547996197139685,1.0093533956893044
20211116,-0.01242499840526492,-0.01242499840526492,-0.0008058017727639033,0.942936235961675,0.942936235961675,1.0085400569337126
20211117,0.004251918625313511,0.004251918625313511,-0.00020161290322584513,0.9469455241058435,0.9469455241058435,1.0083367222448147
20211118,-0.008841257037347616,-0.008841257037347616,-0.008872756604153986,0.9385733353268579,0.9385733353268579,0.9993899959333061
20211119,0.012079854204639064,0.012079854204639064,0.011190233977619535,0.9499111643779681,0.9499111643779681,1.0105734038226921
20211122,0.028720892367931853,0.028720892367931853,0.002615694164989968,0.9771934606891645,0.9771934606891645,1.0132167547783653
20211123,0.0007770647234082839,0.0007770647234082839,0.0006020469596628164,0.9779528032554112,0.9779528032554112,1.013826758845059
20211124,0.006824786703384,0.006824786703384,0.002206177296430134,0.9846271225436058,0.9846271225436058,1.0160634404229363
20211125,0.007874222218246674,0.007874222218246674,-0.0038022813688214363,0.9923802953086269,0.9923802953086269,1.0122000813338756
20211126,-0.01978433432707767,-0.01978433432707767,-0.008437123342707853,0.972746711766637,0.972746711766637,1.0036600244001628
20211129,-0.009142547365712917,-0.009142547365712917,-0.0014181523500809146,0.963853328879469,0.963853328879469,1.0022366815778774
20211130,-0.0020658700232502715,-0.0020658700232502715,-0.0036518563603167298,0.9618621331805268,0.9618621331805268,0.9985766571777145
20211201,0.009419744076235585,0.009419744076235585,0.0026471187130931995,0.9709226283117094,0.9709226283117094,1.0012200081333877
20211202,-0.006742643535174286,-0.006742643535174286,0.002030869212022779,0.964376043128769,0.964376043128769,1.003253355022367
20211203,0.00116433847659545,0.00116433847659545,0.00912038913660318,0.9654989032616906,0.9654989032616906,1.0124034160227737
20211206,-0.00669668260988241,-0.00669668260988241,-0.0010042177144004016,0.9590332635463575,0.9590332635463575,1.011386742578284
20211207,-0.004984127564321294,-0.004984127564321294,0.005629272215520675,0.9542533194224151,0.9542533194224151,1.017080113867426
20211208,0.0010979040377838256,0.0010979040377838256,0.014394242303078952,0.9553009979948777,0.9553009979948777,1.0317202114680768
20211209,0.0004276294538849484,0.0004276294538849484,0.01655498620417828,0.955709512838946,0.955709512838946,1.0488003253355027
20211210,0.000782689537370995,0.000782689537370995,-0.0029081039162466293,0.956457536675411,0.956457536675411,1.0457503050020338
20211213,0.001366635858701717,0.001366635858701717,0.002527707563678705,0.9577646658423571,0.9577646658423571,1.0483936559577067
20211214,-8.617467976321729e-05,-8.617467976321729e-05,-0.006012412723041205,0.9576821307789896,0.9576821307789896,1.042090280601871
20211215,-0.0010586361306971217,-0.0010586361306971217,-0.008975609756097569,0.956668293873624,0.956668293873624,1.0327368849125664
20211216,0.03588773730758193,0.03588773730758193,0.005316007088009389,0.9910009542946531,0.9910009542946531,1.0382269215128104
20211217,-0.00862729781135705,-0.00862729781135705,-0.014296905601253296,0.982451293930614,0.982451293930614,1.0233834892232618
20211220,-0.01233321242963199,-0.01233321242963199,-0.01490164911583558,0.9703345134208009,0.9703345134208009,1.0081333875559173
20211221,0.045365062598350644,0.045365062598350644,0.004235578862444411,1.0143537993634757,1.0143537993634757,1.0124034160227737
20211222,-0.016233939316332435,-0.016233939316332435,0.000602530628640352,0.9978868413393178,0.9978868413393178,1.0130134200894676
20211223,-0.002616544882664407,-0.002616544882664407,0.007627458851866553,0.9952758256311333,0.9952758256311333,1.0207401382675887
20211224,-0.020645538704950388,-0.020645538704950388,-0.004581673306772727,0.9747278200509643,0.9747278200509643,1.0160634404229365
20211227,0.000961665149833224,0.000961665149833224,0.0008004802881729223,0.9756651818260802,0.9756651818260802,1.0168767791785283
20211228,-0.008618758251020564,-0.008618758251020564,0.005198960207958292,0.9672561594899832,0.9672561594899832,1.0221634810898743
20211229,-0.004999410834817364,-0.004999410834817364,-0.013328028645315348,0.9624204485661851,0.9624204485661851,1.0085400569337133
20211230,0.00990841619168683,0.00990841619168683,0.007258064516129092,0.9719565109219689,0.9719565109219689,1.0158601057340386
20211231,0.012034877934934674,0.012034877934934674,0.0024019215372297342,0.9836538888889798,0.9836538888889798,1.0183001220008137
20220104,0.04249444380715515,0.04249444380715515,-0.0035942492012780436,1.025453713796062,1.025453713796062,1.0146400976006509
20220105,-0.009640749726012966,-0.009640749726012966,-0.009418837675350678,1.0155675711857437,1.0155675711857437,1.0050833672224484
20220106,-0.0017181397410257926,-0.0017181397410257926,-0.011329152336637782,1.0138226841819924,1.0138226841819924,0.9936966246441644
20220107,-0.01486321188786106,-0.01486321188786106,0.0024554941682013443,0.9987540228102754,0.9987540228102754,0.9961366409109396
20220110,0.022499054057989555,0.022499054057989555,0.0026536027760766245,1.0212250435601182,1.0212250435601182,0.9987799918666125
20220111,-0.003972699816479186,-0.003972699816479186,-0.009161237785016207,1.017168023016983,1.017168023016983,0.9896299308662059
20220112,-0.0013485092273351818,-0.0013485092273351818,0.010684199712348352,1.0157963625521944,1.0157963625521944,1.0002033346888979
20220113,0.00670998509082077,0.00670998509082077,-0.016466761536897634,1.0226123410002297,1.0226123410002297,0.983733224888166
20220114,-0.028971738730286845,-0.028971738730286845,-0.009094667217858787,0.9929854834344041,0.9929854834344041,0.974786498576657
20220117,0.013792232144202977,0.013792232144202977,0.008552357113058129,1.006680969737755,1.006680969737755,0.9831232208214721
20220118,-0.0009873490390676972,-0.0009873490390676972,0.009513960703205981,1.0056870242496367,1.0056870242496367,0.9924766165107769
20220119,0.021077165647672792,0.021077165647672792,0.010121076009665275,1.0268840562494614,1.0268840562494614,1.002521547784298
20220120,-0.012092378948932916,-0.012092378948932916,0.00794979079497904,1.0144665851046757,1.0144665851046757,1.0104913843566417
20220121,0.00712903890352912,0.00712903890352912,-0.007056870070568655,1.0216987568562175,1.0216987568562175,1.0033604779498078
20220124,-0.012812889378703951,-0.012812889378703951,0.0004180602006689238,1.0086078437062593,1.0086078437062593,1.0037799430325627
20220125,-0.05858596650548407,-0.05858596650548407,-0.02214793146677807,0.9495175783577159,0.9495175783577159,0.981548293646551
20220126,0.026644021742146907,0.026644021742146907,0.005555555555555758,0.9748165453600295,0.9748165453600295,0.9870013397223654
20220127,-0.018977520015516443,-0.018977520015516443,-0.017212069698257726,0.956316944859003,0.956316944859003,0.9700130038707903
20220128,-0.017589469808737167,-0.017589469808737167,-0.015351351351351239,0.9394958368298217,0.9394958368298217,0.9551219934329901
20220207,0.01980515896026478,0.01980515896026478,0.015810276679841806,0.9581027012207434,0.9581027012207434,0.9702227364121677
20220208,0.052891624757367334,0.052891624757367334,-0.0047557284911370346,1.008778309772731,1.008778309772731,0.9656086205018635
20220209,0.0052490393829141,0.0052490393829141,0.008470894874022417,1.0140734268493576,1.0140734268493576,0.9737881896155846
20220210,0.00565939265083506,0.00565939265083506,-0.002369157872065486,1.019812466548676,1.019812466548676,0.9714811316604324
20220211,-0.005354045102355643,-0.005354045102355643,-0.007772020725388518,1.0143523446068299,1.0143523446068299,0.9639307601708436
20220214,-0.0049678110748988535,-0.0049678110748988535,-0.010661444734551773,1.0093132337954425,1.0093132337954425,0.9536538656433476
20220215,-0.0037957848408397775,-0.0037957848408397775,0.009236859467780967,1.0054820979229429,1.0054820979229429,0.9624626323812013
20220216,0.04908707576643661,0.04908707576643661,0.004576160383525929,1.054838273845482,1.054838273845482,0.9668670157501282
20220217,0.006171979958180685,0.006171979958180685,0.002169197396963085,1.0613487145307783,1.0613487145307783,0.9689643411639028
20220218,0.027094627927386105,0.027094627927386105,0.0051948051948051965,1.0901055630521992,1.0901055630521992,0.9739979221569621
20220221,0.02921238819097101,0.02921238819097101,-0.003660637381567744,1.121950149929217,1.121950149929217,0.9704324689535451
20220222,0.013664962273576366,0.013664962273576366,-0.012967365463583125,1.137281556400833,1.137281556400833,0.9578485164708972
20220223,0.02112027108953618,0.02112027108953618,0.010510181738559332,1.161301251177148,1.161301251177148,0.9679156784570158
20220224,-0.022185018998173222,-0.022185018998173222,-0.018418201516793187,1.1355377608571806,1.1355377608571806,0.9500884124399308
20220225,0.01647594832913766,0.01647594832913766,0.00772626931567344,1.1542468223308482,1.1542468223308482,0.9574290513881424
20220228,-0.014559887113230885,-0.014559887113230885,0.001314348302299928,1.1374411188969056,1.1374411188969056,0.958687446636407
20220301,-0.0028093614059569796,-0.0028093614059569796,0.008313279369940973,1.134245635715928,1.134245635715928,0.9666572832087509
20220302,0.021828859490494644,0.021828859490494644,-0.007593838142764042,1.159004924325678,1.159004924325678,0.9593166442605396
20220303,0.012182051595760468,0.012182051595760468,-0.006340183646698638,1.1731239821135537,1.1731239821135537,0.9532344005605932
20220304,-0.00274957740228612,-0.00274957740228612,-0.011221122112211379,1.1698983869222543,1.1698983869222543,0.9425380409503421
20220307,0.01726920723700503,0.01726920723700503,-0.03293279928793946,1.1901016046122528,1.1901016046122528,0.9114976248264768
20220308,-0.014864311521844732,-0.014864311521844732,-0.01886792452830166,1.172411563618649,1.172411563618649,0.8942995564335245
20220309,0.04820628949909048,0.04820628949909048,-0.009380863039399778,1.2289291748665307,1.2289291748665307,0.8859102547784257
20220310,0.03050582985526189,0.03050582985526189,0.014204545454545414,1.2664186791791765,1.2664186791791765,0.8984942072610738
20220311,-0.01751492253629914,-0.01751492253629914,0.006535947712418277,1.2442374541148309,1.2442374541148309,0.9043667184196429
20220314,-0.04405045815677265,-0.04405045815677265,-0.032467532467532534,1.1894282242052563,1.1894282242052563,0.8750041626267973
